component	size	cyclic	wave	members	dependencies	inbound_components	executable_inbound_files	contract_inbound_files
component-c08bd8f04b542fa65f90d4d8b2902cdc932dd42732574d9ae75a61879da9cba8	1	no	7	evaluation/standards-effectiveness/verify-milestone-7-row-42-decomposition.sh	component-23e5e52a2dfe695955c56d022462756dfeec0841de4c73c60f50f9cb742492cd,component-6485de858ba9c8446e9656810c6d2d175aa55b1f9b6a4279265b6ee4d5046a6c,component-711128a7f20f35ceb9857b7066954a81fcef0623b4c1642f202acbba45bc8fd5,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-82330fcd23472300543d28ddc93cb8b12457f9cc854c13427c90ec734946e389,component-cbeed40a7f9e5e3d699206653231eac25713b591f47332b9f18ee06e33703fcd	component-8e9e913a6ebea1ca8dc44b7ea11cbb88704962fb8af01b65f468d7d43712ff94	evaluation/standards-effectiveness/verify-security-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv
component-c3bbb4ce7558ec7ff0cd189517f9bd354e89cc922fbb30dad60ca08546af8422	1	no	5	evaluation/standards-effectiveness/verify-rust-listener-lifecycle.sh	component-07ce6877f103bc57a9f71e7884007823ac917967a9324f9aaf13c2f7713006b3,component-814a5104df1a2a94c6066f2c26a7b3714dcce1322894a1d8ec3c5ec38f4a7825,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-17e89de10238a6cd83b168cb5301c38cb2d499df58d0fbf1103e61c05b873df2,component-a6453bee7ea7a5f056c5a69c331805e3f7aeceb8927ff97ed3cf45dae52f1142,component-e9b0fc054c73518eb39cbc2ee6ae89618f24478151a9767cd056d3c75c3d2d96	evaluation/standards-effectiveness/verify-milestone-7-row-44-decomposition.sh,evaluation/standards-effectiveness/verify-rust-security-panic-boundary.sh,evaluation/standards-effectiveness/verify-rust-security-title-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-cbeed40a7f9e5e3d699206653231eac25713b591f47332b9f18ee06e33703fcd	1	no	6	evaluation/standards-effectiveness/verify-network-transport-policy.sh	component-177c8a2d3e64a56b3c5f39ed57748c87f3457bbf6528fedb557cbf9483b36134,component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-8e9e913a6ebea1ca8dc44b7ea11cbb88704962fb8af01b65f468d7d43712ff94,component-c08bd8f04b542fa65f90d4d8b2902cdc932dd42732574d9ae75a61879da9cba8	evaluation/standards-effectiveness/verify-milestone-7-row-42-decomposition.sh,evaluation/standards-effectiveness/verify-security-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-security-checker-repairs.tsv
component-cc2c80ba2e3c3d16b63c85c1c516e07abd1394f36cd832dceafa58cb99ae1149	1	no	4	evaluation/standards-effectiveness/verify-milestone-7-row-5-decomposition.sh	component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-f1660bb55a383e0a9eb4397543b8ee8ac6f2d7101d8f939c4d3beb685dd0e7e6	component-57fe502eb0a9c30d895b9eb4a797d702c7df5f46e82817a0a856a0e194961ad2,component-9543f3859767b879dd34ce84bf29a7b273c41e5523adacb1d1d96ef42d4ef475,component-fdcbd9323ab427f301a785a9d169c92eed03df9b126116c58eeeb3cbfeb71fda	evaluation/standards-effectiveness/verify-binding-contract-evolution.sh,evaluation/standards-effectiveness/verify-language-binding-mechanism-selection.sh,evaluation/standards-effectiveness/verify-rust-binding-core-adapter-testability.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv
component-d047788b75a5f608467aafa63a1927cca98d61d77b26757df901e57d34358c90	1	no	3	evaluation/standards-effectiveness/verify-milestone-7-row-15-decomposition.sh	component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167	component-c0459149ff60600dae7bb9bed5c67fb4e0da9259ef4cacda2d8d93282126c54d	evaluation/standards-effectiveness/verify-language-profile-routing.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-d288e00b6179ec6f05844d4d49c43b4b9ae8e5246cd769b8ac5f59fbd11b1ef6	1	no	5	evaluation/standards-effectiveness/verify-rust-filesystem-authority.sh	component-07ce6877f103bc57a9f71e7884007823ac917967a9324f9aaf13c2f7713006b3,component-711128a7f20f35ceb9857b7066954a81fcef0623b4c1642f202acbba45bc8fd5,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-17e89de10238a6cd83b168cb5301c38cb2d499df58d0fbf1103e61c05b873df2,component-a6453bee7ea7a5f056c5a69c331805e3f7aeceb8927ff97ed3cf45dae52f1142,component-e9b0fc054c73518eb39cbc2ee6ae89618f24478151a9767cd056d3c75c3d2d96	evaluation/standards-effectiveness/verify-milestone-7-row-44-decomposition.sh,evaluation/standards-effectiveness/verify-rust-security-panic-boundary.sh,evaluation/standards-effectiveness/verify-rust-security-title-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-d8ea8a1175975e29763efd153437187aae89c54e63fe8f7bc184e8646071ffa4	1	no	1	evaluation/standards-effectiveness/verify-rust-boundary-arithmetic.sh	component-572e52e35399637057c19ce2396fe5791f1e3339d8c1db61cfb66be8f5abafd8,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-17e89de10238a6cd83b168cb5301c38cb2d499df58d0fbf1103e61c05b873df2,component-5e1cf8e9c5200202ab4ae5c26353960caa4dbe106c70473d4712072f82368a92,component-a6453bee7ea7a5f056c5a69c331805e3f7aeceb8927ff97ed3cf45dae52f1142	evaluation/standards-effectiveness/verify-milestone-7-row-44-decomposition.sh,evaluation/standards-effectiveness/verify-rust-external-input-queue.sh,evaluation/standards-effectiveness/verify-rust-security-title-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-daec8a92518b5bc4c0457278f32b8e5677b5e1bf9c91debd9950f4c4963d2188	1	no	0	evaluation/standards-effectiveness/verify-undisposed-source-gaps.sh	-	-	-	evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-dc06460a1b272e7e86aad95524869442d2d130d37e1b41ef84c48338d1ea4dff	1	no	1	evaluation/standards-effectiveness/verify-rust-binding-conversions.sh	component-572e52e35399637057c19ce2396fe5791f1e3339d8c1db61cfb66be8f5abafd8,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-04fa08517d7a709af78a47bf18da52950f55a7aacd31c4f5e32e4cc48a1cd41e,component-08a69acf3fffd4d96c3b77d021a97b9ae24dbf8b83428d4b2d17e9e3ff0d6178,component-57fe502eb0a9c30d895b9eb4a797d702c7df5f46e82817a0a856a0e194961ad2,component-7df8a30afee705224eabcc15e50ea6bd894b79aefc337c212258b20c2199634c,component-be2cabf58bb7b0ede8286919e88198aa4d2273bff1cd89e4c562df46e9ac3366	evaluation/standards-effectiveness/verify-rust-binding-core-adapter-testability.sh,evaluation/standards-effectiveness/verify-rust-binding-enum-representation.sh,evaluation/standards-effectiveness/verify-rust-binding-error-mapping.sh,evaluation/standards-effectiveness/verify-rust-binding-title-index-closure.sh,evaluation/standards-effectiveness/verify-rust-wire-representation.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv
component-ddde987c43bc18855aecc437804a618bf252fcaf558fc1c91a278caa9a3a7b41	1	no	1	evaluation/standards-effectiveness/verify-interop-boundary-policy.sh	component-572e52e35399637057c19ce2396fe5791f1e3339d8c1db61cfb66be8f5abafd8,component-aaf33edf2afc9b5c37f4f4a12c939dc01647d2ead887325591cc728b35baa69d	component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841,component-919b5d2fe8b3b70c7ee0caa438a8cffd1c469f1d3e50c10d2de039158a6c3dcc	evaluation/standards-effectiveness/verify-interop-event-registration.sh,evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv
component-e27642d922695d8b2ae5cdbfe2a3cbec21f736f87d836bde91532065fc56a99a	1	no	4	evaluation/standards-effectiveness/verify-milestone-7-row-13-decomposition.sh	component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-f1660bb55a383e0a9eb4397543b8ee8ac6f2d7101d8f939c4d3beb685dd0e7e6	component-8f6946288de693c00af1b6d771e3d824280881277eb1a689adfd1813f749d7f2	evaluation/standards-effectiveness/verify-godot-owner-contract.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-e9b0fc054c73518eb39cbc2ee6ae89618f24478151a9767cd056d3c75c3d2d96	1	no	6	evaluation/standards-effectiveness/verify-rust-security-panic-boundary.sh	component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-c3bbb4ce7558ec7ff0cd189517f9bd354e89cc922fbb30dad60ca08546af8422,component-d288e00b6179ec6f05844d4d49c43b4b9ae8e5246cd769b8ac5f59fbd11b1ef6	component-17e89de10238a6cd83b168cb5301c38cb2d499df58d0fbf1103e61c05b873df2,component-a6453bee7ea7a5f056c5a69c331805e3f7aeceb8927ff97ed3cf45dae52f1142	evaluation/standards-effectiveness/verify-milestone-7-row-44-decomposition.sh,evaluation/standards-effectiveness/verify-rust-security-title-index-closure.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv
component-f164a80b7fcd9626ecdf1baea8eb7b6d59f71988c2161366670321e00d1383d3	1	no	0	evaluation/standards-effectiveness/verify-contract-ownership.sh	-	component-4940104761051e00bc2df0352d77702d7e95858d1a1fe20f7c52f5c6fbb01841,component-9444f35220b1ea0a550576b912f1a32b42e57f4fda3b7092f366fa239fec0b65,component-fdcbd9323ab427f301a785a9d169c92eed03df9b126116c58eeeb3cbfeb71fda	evaluation/standards-effectiveness/verify-binding-contract-evolution.sh,evaluation/standards-effectiveness/verify-cross-language-contract.sh,evaluation/standards-effectiveness/verify-milestone-7-independent-trust-replan.sh	evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/milestone-7-row-35-transitive-contract-callers.tsv,evaluation/standards-effectiveness/suites/milestone-7-row-35-decomposition.toml
component-f1660bb55a383e0a9eb4397543b8ee8ac6f2d7101d8f939c4d3beb685dd0e7e6	1	no	3	evaluation/standards-effectiveness/verify-milestone-7-accelerated-execution-replan.sh	component-32641fc24f283d732c863f66d60560759449c5540faa921f78646e420bfbff6d,component-6a60c37c93d5b66cf98456f78fcd1d0613ab20920652a16e03fc7dcb991081c1,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-bca18e32e5e45df9724ff0381026161e041085bcb3184d73291597d26ab2fe9b	component-0b6ee6317401d4f4fed9f4cb1d2f28bf9b3b370ef07e7741b8b1447295dc46c5,component-4ff8fcc2884998d0e420714f719799cd1e2dbfa3e891c8756595c65b385388ce,component-7431bba9ed574d1283a79364ab26871a11bd84e387b24c6b0f06c89d5cc78dd9,component-a21117ca9358e43b4cfd9d14ac2e4c9ca7e4ecc03913b8fe5118e428e7886ab6,component-b46db8098650d8131be038d340eff1ea4602eafc69a331578a8fd14b11c629bc,component-cc2c80ba2e3c3d16b63c85c1c516e07abd1394f36cd832dceafa58cb99ae1149,component-e27642d922695d8b2ae5cdbfe2a3cbec21f736f87d836bde91532065fc56a99a,component-fe1f3e23d1cd153784e8f8271c0cb463e91d2a68196619442ff3c5e8bd2537a4	evaluation/standards-effectiveness/verify-dependencies-owner-contract.sh,evaluation/standards-effectiveness/verify-launcher-owner-contract.sh,evaluation/standards-effectiveness/verify-milestone-7-row-13-decomposition.sh,evaluation/standards-effectiveness/verify-milestone-7-row-14-decomposition.sh,evaluation/standards-effectiveness/verify-milestone-7-row-5-decomposition.sh,evaluation/standards-effectiveness/verify-milestone-7-row-7-decomposition.sh,evaluation/standards-effectiveness/verify-milestone-7-row-8-decomposition.sh,evaluation/standards-effectiveness/verify-resilience-owner-contract.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
component-f34de65d4fcc4edaaaf8a96dcb49786a58ea2ad43932aa3460571b270ab838ee	1	no	6	evaluation/standards-effectiveness/verify-binding-generation-authority.sh	component-32641fc24f283d732c863f66d60560759449c5540faa921f78646e420bfbff6d,component-7431bba9ed574d1283a79364ab26871a11bd84e387b24c6b0f06c89d5cc78dd9,component-fdcbd9323ab427f301a785a9d169c92eed03df9b126116c58eeeb3cbfeb71fda	component-08a69acf3fffd4d96c3b77d021a97b9ae24dbf8b83428d4b2d17e9e3ff0d6178	evaluation/standards-effectiveness/verify-rust-binding-title-index-closure.sh	-
component-f9ad2f3185228ad753500c333348a0d6707cf27735758e4edec4bbb3f34eb0d5	1	no	1	evaluation/standards-effectiveness/verify-decision-traceability.sh	component-a7ccf714b869113d2cf929b89ac68e9d8ba1928bceb8a85388b82abc588f5593	-	-	evaluation/standards-effectiveness/milestone-7-row-35-readme-consumers.tsv
component-fdcbd9323ab427f301a785a9d169c92eed03df9b126116c58eeeb3cbfeb71fda	1	no	5	evaluation/standards-effectiveness/verify-binding-contract-evolution.sh	component-32641fc24f283d732c863f66d60560759449c5540faa921f78646e420bfbff6d,component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-989c910ddcf2c312c4c251fabeb891abb2099e35d1860e10b54e4d7a20414ad8,component-cc2c80ba2e3c3d16b63c85c1c516e07abd1394f36cd832dceafa58cb99ae1149,component-f164a80b7fcd9626ecdf1baea8eb7b6d59f71988c2161366670321e00d1383d3	component-f34de65d4fcc4edaaaf8a96dcb49786a58ea2ad43932aa3460571b270ab838ee	evaluation/standards-effectiveness/verify-binding-generation-authority.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-transitive-contract-callers.tsv,evaluation/standards-effectiveness/suites/milestone-7-row-35-decomposition.toml
component-fe1f3e23d1cd153784e8f8271c0cb463e91d2a68196619442ff3c5e8bd2537a4	1	no	4	evaluation/standards-effectiveness/verify-milestone-7-row-14-decomposition.sh	component-7e14e2de6c5a319348ca02661400a550fdc2d379352ffb3c7f909a24d7ab1167,component-f1660bb55a383e0a9eb4397543b8ee8ac6f2d7101d8f939c4d3beb685dd0e7e6	component-9859a0fba88fa35bdedaccc5167a8e1fe665ca7c155470530363be30cced1efe	evaluation/standards-effectiveness/verify-launcher-population.sh	docs/plans/planning-proportionality-recovery/reports/active-plan-consumer-dispositions.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv
